"Date","Price","Open","High","Low","Vol.","Change %"
"01/30/2017","31.15","31.15","31.15","31.15","","-5.18%"
"01/27/2017","32.85","32.85","32.85","32.85","","-0.90%"
"01/26/2017","33.15","33.15","33.15","33.15","","0.30%"
"01/25/2017","33.05","33.05","33.05","33.05","","-2.51%"
"01/24/2017","33.90","33.90","33.90","33.90","","-0.44%"
"01/23/2017","34.05","34.05","34.05","34.05","","-1.45%"
"01/20/2017","34.55","34.55","34.55","34.55","","-2.12%"
"01/19/2017","35.30","35.30","35.30","35.30","","0.00%"
"01/18/2017","35.30","35.30","35.30","35.30","","-1.67%"
"01/17/2017","35.90","35.90","35.90","35.90","","-0.42%"
"01/13/2017","36.05","36.05","36.05","36.05","","0.14%"
"01/12/2017","36.00","36.00","36.00","36.00","","2.42%"
"01/11/2017","35.15","35.15","35.15","35.15","","-1.40%"
"01/10/2017","35.65","35.65","35.65","35.65","","6.42%"
"01/09/2017","33.50","33.50","33.50","33.50","","-2.05%"
"01/06/2017","34.20","34.20","34.20","34.20","","0.29%"
"01/05/2017","34.10","34.10","34.10","34.10","","0.74%"
"01/04/2017","33.85","33.85","33.85","33.85","","-0.88%"
"01/03/2017","34.15","34.15","34.15","34.15","","1.22%"
"12/30/2016","33.74","33.74","33.74","33.74","","-7.31%"
"12/29/2016","36.40","36.40","36.40","36.40","","-9.90%"
"12/28/2016","40.40","40.40","40.40","40.40","","-1.34%"
"12/27/2016","40.95","40.95","40.95","40.95","","2.89%"
"12/23/2016","39.80","39.80","39.80","39.80","","0.89%"
"12/22/2016","39.45","39.45","39.45","39.45","","5.48%"
"12/21/2016","37.40","37.40","37.40","37.40","","3.17%"
"12/20/2016","36.25","36.25","36.25","36.25","","-0.82%"
"12/19/2016","36.55","36.55","36.55","36.55","","-1.08%"
"12/16/2016","36.95","36.95","36.95","36.95","","-1.34%"
"12/15/2016","37.45","37.45","37.45","37.45","","-4.34%"
"12/14/2016","39.15","39.15","39.15","39.15","","0.77%"
"12/13/2016","38.85","38.85","38.85","38.85","","-5.24%"
"12/12/2016","41.00","41.00","41.00","41.00","","-9.39%"
"12/09/2016","45.25","45.25","45.25","45.25","","2.03%"
"12/08/2016","44.35","44.35","44.35","44.35","2.04K","0.34%"
"12/07/2016","44.20","44.20","44.20","44.20","","1.14%"
"12/06/2016","43.70","43.70","43.70","43.70","","0.34%"
"12/05/2016","43.55","43.55","43.55","43.55","","8.20%"
"12/02/2016","40.25","40.25","40.25","40.25","","1.51%"
"12/01/2016","39.65","39.65","39.65","39.65","4.08K","34.96%"
"11/30/2016","29.38","29.38","29.38","29.38","","-1.74%"
"11/29/2016","29.90","29.90","29.90","29.90","","0.67%"
"11/28/2016","29.70","29.70","29.70","29.70","","4.21%"
"11/25/2016","28.50","28.50","28.50","28.50","","0.00%"
"11/23/2016","28.50","28.50","28.50","28.50","","-0.70%"
"11/22/2016","28.70","28.70","28.70","28.70","","0.17%"
"11/21/2016","28.65","28.65","28.65","28.65","","-0.87%"
"11/18/2016","28.90","28.90","28.90","28.90","","3.40%"
"11/17/2016","27.95","27.95","27.95","27.95","","-0.71%"
"11/16/2016","28.15","28.15","28.15","28.15","","-0.18%"
"11/15/2016","28.20","28.20","28.20","28.20","","0.53%"
"11/14/2016","28.05","28.05","28.05","28.05","","0.90%"
"11/11/2016","27.80","27.80","27.80","27.80","","0.91%"
"11/10/2016","27.55","27.55","27.55","27.55","","-0.72%"
"11/09/2016","27.75","27.75","27.75","27.75","","-1.77%"
"11/08/2016","28.25","28.25","28.25","28.25","","-5.04%"
"11/07/2016","29.75","29.75","29.75","29.75","","0.34%"
"11/04/2016","29.65","29.65","29.65","29.65","","-1.33%"
"11/03/2016","30.05","30.05","30.05","30.05","","-0.66%"
"11/02/2016","30.25","30.25","30.25","30.25","","-1.47%"
"11/01/2016","30.70","30.70","30.70","30.70","","18.95%"
"10/31/2016","25.81","25.81","25.81","25.81","","1.81%"
"10/28/2016","25.35","25.35","25.35","25.35","","0.40%"
"10/27/2016","25.25","25.25","25.25","25.25","","0.00%"
"10/26/2016","25.25","25.25","25.25","25.25","","-1.17%"
"10/25/2016","25.55","25.55","25.55","25.55","","-0.78%"
"10/24/2016","25.75","25.75","25.75","25.75","","0.00%"
"10/21/2016","25.75","25.75","25.75","25.75","","-1.72%"
"10/20/2016","26.20","26.20","26.20","26.20","","-0.19%"
"10/19/2016","26.25","26.25","26.25","26.25","","-0.57%"
"10/18/2016","26.40","26.40","26.40","26.40","","-0.56%"
"10/17/2016","26.55","26.55","26.55","26.55","","-0.38%"
"10/14/2016","26.65","26.65","26.65","26.65","","-1.30%"
"10/13/2016","27.00","27.00","27.00","27.00","","1.50%"
"10/12/2016","26.60","26.60","26.60","26.60","","0.38%"
"10/11/2016","26.50","26.50","26.50","26.50","","0.00%"
"10/10/2016","26.50","26.50","26.50","26.50","","2.71%"
"10/07/2016","25.80","25.80","25.80","25.80","","2.18%"
"10/06/2016","25.25","25.25","25.25","25.25","","-0.20%"
"10/05/2016","25.30","25.30","25.30","25.30","","1.20%"
"10/04/2016","25.00","25.00","25.00","25.00","","0.40%"
"10/03/2016","24.90","24.90","24.90","24.90","","5.37%"
"09/30/2016","23.63","23.63","23.63","23.63","","-1.13%"
"09/29/2016","23.90","23.90","23.90","23.90","","0.21%"
"09/28/2016","23.85","23.85","23.85","23.85","","0.85%"
"09/27/2016","23.65","23.65","23.65","23.65","","-1.87%"
"09/26/2016","24.10","24.10","24.10","24.10","","-0.41%"
"09/23/2016","24.20","24.20","24.20","24.20","","0.83%"
"09/22/2016","24.00","24.00","24.00","24.00","","-0.41%"
"09/21/2016","24.10","24.10","24.10","24.10","","-0.41%"
"09/20/2016","24.20","24.20","24.20","24.20","","0.83%"
"09/19/2016","24.00","24.00","24.00","24.00","","0.84%"
"09/16/2016","23.80","23.80","23.80","23.80","","0.21%"
"09/15/2016","23.75","23.75","23.75","23.75","","0.42%"
"09/14/2016","23.65","23.65","23.65","23.65","","0.00%"
"09/13/2016","23.65","23.65","23.65","23.65","","0.85%"
"09/12/2016","23.45","23.45","23.45","23.45","","0.00%"
"09/09/2016","23.45","23.45","23.45","23.45","","-0.21%"
"09/08/2016","23.50","23.50","23.50","23.50","","0.64%"
"09/07/2016","23.35","23.35","23.35","23.35","","-0.21%"
"09/06/2016","23.40","23.40","23.40","23.40","","-0.43%"
"09/02/2016","23.50","23.50","23.50","23.50","","-0.42%"
"09/01/2016","23.60","23.60","23.60","23.60","","5.69%"
"08/31/2016","22.33","22.33","22.33","22.33","","0.59%"
"08/30/2016","22.20","22.20","22.20","22.20","","-1.99%"
"08/29/2016","22.65","22.65","22.65","22.65","","0.22%"
"08/26/2016","22.60","22.60","22.60","22.60","","0.22%"
"08/25/2016","22.55","22.55","22.55","22.55","","0.45%"
"08/24/2016","22.45","22.45","22.45","22.45","","0.67%"
"08/23/2016","22.30","22.30","22.30","22.30","","0.00%"
"08/22/2016","22.30","22.30","22.30","22.30","3.84K","0.22%"
"08/19/2016","22.25","22.25","22.25","22.25","","0.23%"
"08/18/2016","22.20","22.20","22.20","22.20","","0.23%"
"08/17/2016","22.15","22.15","22.15","22.15","","0.00%"
"08/16/2016","22.15","22.15","22.15","22.15","","0.00%"
"08/15/2016","22.15","22.15","22.15","22.15","","-0.23%"
"08/12/2016","22.20","22.20","22.20","22.20","","0.68%"
"08/11/2016","22.05","22.05","22.05","22.05","","0.23%"
"08/10/2016","22.00","22.00","22.00","22.00","","-0.45%"
"08/09/2016","22.10","22.10","22.10","22.10","","-0.67%"
"08/08/2016","22.25","22.25","22.25","22.25","","-0.45%"
"08/05/2016","22.35","22.35","22.35","22.35","","-0.22%"
"08/04/2016","22.40","22.40","22.40","22.40","","-0.44%"
"08/03/2016","22.50","22.50","22.50","22.50","","1.12%"
"08/02/2016","22.25","22.25","22.25","22.25","","0.00%"
"08/01/2016","22.25","22.25","22.25","22.25","","-4.14%"
"07/29/2016","23.21","23.21","23.21","23.21","","0.48%"
"07/28/2016","23.10","23.10","23.10","23.10","","0.65%"
"07/27/2016","22.95","22.95","22.95","22.95","","0.00%"
"07/26/2016","22.95","22.95","22.95","22.95","","-1.50%"
"07/25/2016","23.30","23.30","23.30","23.30","","-1.89%"
"07/22/2016","23.75","23.75","23.75","23.75","","-0.21%"
